times,prices,sellBuyHold,confidence
0,9695.3,1,0.4182397
1,9700.51,1,0.40035635
2,9689.96,1,0.43156672
3,9672.59,1,0.46915227
4,9676.96,1,0.44268996
5,9677.93,1,0.42855862
6,9681.19,1,0.43028793
7,9685.49,1,0.4379325
8,9676.89,1,0.45012394
9,9672.1,1,0.46979916
10,9676.14,1,0.44317234
11,9681.24,1,0.43947285
12,9680.86,1,0.44741967
13,9682.64,1,0.43807277
14,9670.51,1,0.4520523
15,9675.57,1,0.4386687
16,9665.3,1,0.46109003
17,9667.09,1,0.4605005
18,9665.0,1,0.46114415
19,9664.64,1,0.4497471
20,9666.9,1,0.4392881
21,9679.71,1,0.39142543
22,9678.61,1,0.36559087
23,9678.61,0,0.36851174
24,9679.83,0,0.3859079
25,9674.4,1,0.369596
26,9668.36,1,0.40964907
27,9668.62,1,0.41333193
28,9675.74,0,0.3847599
29,9678.4,0,0.4226002
30,9676.6,0,0.40285525
31,9676.44,0,0.40757704
32,9689.24,0,0.4759643
33,9694.0,0,0.48396567
34,9694.92,0,0.4835766
35,9691.43,0,0.47661495
36,9688.22,0,0.46273807
37,9695.16,0,0.48413202
38,9688.78,0,0.45758948
39,9683.7,0,0.41355658
40,9690.94,0,0.46735474
41,9690.72,0,0.45918718
42,9684.31,0,0.4094578
43,9687.65,0,0.43826675
44,9685.08,0,0.3995613
45,9685.88,0,0.40892854
46,9685.87,0,0.39945903
47,9689.43,0,0.41488773
48,9686.72,0,0.39755252
49,9689.76,0,0.4082461
50,9696.21,0,0.45359358
51,9699.51,0,0.4537577
52,9702.19,0,0.46002442
53,9701.0,0,0.4575789
54,9699.59,0,0.45602396
55,9680.54,1,0.4238779
56,9680.58,1,0.4209589
57,9685.51,1,0.40542167
58,9680.42,1,0.4157574
59,9681.4,1,0.40601194
60,9681.67,1,0.40518662
61,9680.99,1,0.40680724
62,9686.29,1,0.39642563
63,9682.08,1,0.40679213
64,9685.5,1,0.39681762
65,9680.08,1,0.41377467
66,9679.3,1,0.41055608
67,9677.95,1,0.40344262
68,9673.39,1,0.41073668
69,9668.23,1,0.4190268
70,9671.8,1,0.41089728
71,9677.69,1,0.39722362
72,9683.44,0,0.39215618
73,9683.16,0,0.38260552
74,9677.75,1,0.39552838
75,9679.61,1,0.39072362
76,9673.97,1,0.4083488
77,9672.99,1,0.41020918
78,9652.78,1,0.46149606
79,9661.45,1,0.41380718
80,9664.74,1,0.41010478
81,9654.05,1,0.48624742
82,9662.93,1,0.4169932
83,9664.02,1,0.42736968
84,9673.77,1,0.38646156
85,9667.77,1,0.41078165
86,9667.31,1,0.41206592
87,9670.06,1,0.38910466
88,9662.37,1,0.42024544
89,9651.76,1,0.46453905
90,9668.55,0,0.38757384
91,9664.36,1,0.3815631
92,9660.93,1,0.39932925
93,9658.7,1,0.40590045
94,9657.74,1,0.40377071
95,9669.17,0,0.44604695
96,9669.2,0,0.44640914
97,9672.01,0,0.46038112
98,9677.34,0,0.47662455
99,9680.19,0,0.48089564
100,9684.33,0,0.48542774
101,9679.0,0,0.47330868
102,9678.49,0,0.47001776
103,9670.49,0,0.40187436
104,9673.69,0,0.43354768
105,9676.84,0,0.4510128
106,9681.83,0,0.46985823
107,9682.9,0,0.46850675
108,9712.76,0,0.48664594
109,9720.46,0,0.48301977
110,9736.18,2,0.49599573
111,9737.04,2,0.49821913
112,9736.0,2,0.50133485
113,9736.32,2,0.49798506
114,9720.0,2,0.47753266
115,9719.5,0,0.47383335
116,9723.42,0,0.48393205
117,9722.0,0,0.48751792
118,9720.6,0,0.48364234
119,9722.0,0,0.47988597
120,9721.99,0,0.46916962
121,9721.99,0,0.45511374
122,9724.8,0,0.4508106
123,9720.49,0,0.40722638
124,9718.54,0,0.3934693
125,9717.93,0,0.40899578
126,9720.49,0,0.4124715
127,9706.26,1,0.41625902
128,9702.04,1,0.4462158
129,9695.36,1,0.47999936
130,9698.28,1,0.4656296
131,9696.22,1,0.47062552
132,9706.81,1,0.3877959
133,9712.77,1,0.40290275
134,9700.7,1,0.46198282
135,9703.84,1,0.41515702
136,9703.22,1,0.4342305
137,9691.31,1,0.47441635
138,9688.88,1,0.4717024
139,9693.82,1,0.43639648
140,9706.01,1,0.40369478
141,9706.48,1,0.40035665
142,9709.43,1,0.3846628
143,9726.18,0,0.46530542
144,9719.35,0,0.43639854
145,9715.6,0,0.4153504
146,9721.02,0,0.45968512
147,9719.66,0,0.44421
148,9714.99,0,0.40842962
149,9719.07,0,0.44530615
150,9720.7,0,0.44974872
151,9719.71,0,0.4367852
152,9714.51,0,0.3867037
153,9710.5,1,0.39228177
154,9714.9,0,0.39408156
155,9711.85,1,0.39949146
156,9717.28,0,0.39654857
157,9719.0,0,0.394626
158,9710.4,1,0.4133519
159,9707.31,1,0.4224311
160,9702.81,1,0.4196257
161,9698.49,1,0.40657574
162,9699.13,1,0.4011437
163,9709.04,1,0.3924882
164,9717.9,0,0.4048774
165,9715.53,1,0.38326064
166,9713.31,1,0.39828086
167,9711.46,1,0.40569946
168,9707.41,1,0.41774023
169,9707.4,1,0.41653523
170,9700.0,1,0.4361445
171,9702.1,1,0.4171019
172,9702.4,1,0.4171554
173,9709.93,1,0.388166
174,9717.48,0,0.4347193
175,9714.84,0,0.40904224
176,9718.79,0,0.44644892
177,9709.99,0,0.36791363
178,9711.51,0,0.38215774
179,9710.03,0,0.37589824
180,9707.05,1,0.39064056
181,9709.82,0,0.38082102
182,9704.59,1,0.40110657
183,9710.69,0,0.39758852
184,9711.18,0,0.39931178
185,9708.5,0,0.37942603
186,9703.11,1,0.40818563
187,9703.01,1,0.41086957
188,9704.27,1,0.40139553
189,9714.19,0,0.43080923
190,9711.49,0,0.39706135
191,9705.53,1,0.39312038
192,9709.13,0,0.3880843
193,9705.17,1,0.3927987
194,9708.55,0,0.38956907
195,9706.36,0,0.37654385
196,9706.26,0,0.37348622
197,9709.24,0,0.4016923
198,9701.24,1,0.39550522
199,9706.78,0,0.40186405
200,9710.01,0,0.4319697
201,9710.5,0,0.42028382
202,9711.0,0,0.42731157
203,9708.5,0,0.39313206
204,9712.24,0,0.4498387
205,9733.4,0,0.4888888
206,9732.36,0,0.48757902
207,9726.79,0,0.4795892
208,9734.31,0,0.49154705
209,9730.0,0,0.49060112
210,9723.1,0,0.52916473
211,9722.89,0,0.57065034
212,9727.85,0,0.5948695
213,9729.47,0,0.59930325
214,9729.93,0,0.60669994
215,9750.0,0,0.48619968
216,9747.03,0,0.48760068
217,9743.83,0,0.49321374
218,9746.11,0,0.49574974
219,9755.15,0,0.4937425
220,9799.57,2,0.4920201
221,9789.78,2,0.51771456
222,9760.86,2,0.49177924
223,9762.0,2,0.4888662
224,9767.5,0,0.49047598
225,9782.87,0,0.4896391
226,9777.58,0,0.49198967
227,9777.99,0,0.49841005
228,9792.42,0,0.495926
229,9811.02,2,0.48813388
230,9761.17,1,0.45966068
231,9751.57,1,0.5035113
232,9760.4,1,0.45248663
233,9778.73,0,0.46102032
234,9783.84,0,0.4979733
235,9783.67,0,0.4883037
236,9771.83,1,0.50678533
237,9786.36,0,0.55830204
238,9773.31,1,0.60985243
239,9773.9,1,0.46225378
240,9776.74,0,0.41766354
241,9773.13,1,0.5480747
242,9766.68,1,0.5924229
243,9764.99,1,0.55514437
244,9757.53,1,0.5448286
245,9770.0,1,0.4147419
246,9773.8,0,0.42914218
247,9770.11,1,0.524955
248,9784.48,0,0.52640057
249,9788.24,0,0.5221849
250,9777.8,1,0.47150162
251,9769.38,1,0.6401601
252,9754.27,1,0.5869698
253,9774.31,0,0.4238447
254,9760.94,1,0.6598213
255,9760.94,1,0.6598213
256,9760.94,1,0.6598213
257,9760.94,1,0.6598213
258,9760.94,1,0.6598213
259,9760.94,1,0.6598213
